tile,art_index,score,wscore,confidence,cells_scored,live,informative,rank,margin,best_score_index,notes
0,0,1.0,,high,9,True,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
1,1,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
2,2,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
3,3,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
4,4,0.9913,1.0,high,9,True,True,1,0.0278,4,
5,5,1.0,1.0,high,9,True,True,1,0.0278,5,
6,6,1.0,1.0,high,9,True,True,1,0.0208,6,
7,7,0.9878,0.9973,high,9,True,True,2,-0.0069,10,
8,8,0.9653,0.9479,high,9,True,True,2,-0.0069,12,
9,9,0.8906,0.8906,low,9,True,True,51,-0.0816,154,identity ranks 51 of 256; index 154 beats identity by 0.082
10,10,0.9878,0.9948,high,9,True,True,1,0.0,7,
11,11,0.9878,0.9975,high,9,True,True,1,0.0278,11,
12,12,1.0,1.0,high,9,True,True,1,0.059,12,
13,13,0.9705,0.9799,high,9,True,True,3,-0.0226,28,
14,14,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
15,15,0.9618,0.9745,low,9,True,True,4,-0.033,10,identity ranks 4 of 256
16,16,0.9878,0.9973,high,9,True,True,2,-0.0087,28,
17,17,0.9861,0.9975,high,9,True,True,1,0.0,17,
18,18,0.9653,0.9775,low,9,True,True,4,-0.0312,28,identity ranks 4 of 256
19,19,1.0,1.0,high,9,True,True,1,0.0312,19,
20,20,0.9427,0.9886,low,9,True,True,6,-0.0434,28,identity ranks 6 of 256
21,21,0.8872,1.0,low,9,True,True,45,-0.0712,5,identity ranks 45 of 256; index 5 beats identity by 0.071
22,22,1.0,1.0,high,9,True,True,1,0.0781,22,
23,23,1.0,,high,9,False,False,1,0.0,0,"no informative cells (every unmasked cell is constant) - agreement is unconstrained, weak evidence"
24,24,0.7031,0.7226,unmatched,7,True,True,15,-0.0424,202,identity ranks 15 of 256
25,25,0.9757,0.9781,high,9,True,True,3,-0.0191,10,
26,26,0.9878,0.9978,high,9,True,True,1,0.0208,26,
27,27,0.9878,0.9979,high,9,True,True,1,0.0278,27,
28,28,1.0,1.0,high,9,True,True,1,0.0087,28,
29,29,0.9219,0.9834,high,7,True,True,1,0.0045,29,
30,30,1.0,1.0,high,8,False,True,1,0.0312,30,
31,31,1.0,1.0,high,8,True,True,1,0.0312,31,
32,32,0.9473,0.9836,high,8,True,True,1,0.0566,32,
33,33,0.9781,0.9959,high,5,True,True,1,0.0344,33,
34,34,1.0,1.0,high,8,True,True,1,0.0625,34,
35,35,0.9473,0.9836,high,8,True,True,1,0.0566,35,
36,36,0.8993,0.932,low,9,True,True,1,0.0104,36,
37,37,0.9286,0.8548,high,7,True,True,1,0.0513,37,
38,38,0.9271,0.9635,low,9,True,True,23,-0.0139,154,identity ranks 23 of 256
